id,followers,genres,name,popularity
5ESobCkc6JI4tIMxQttqeg,116265.0,"['blues', 'harlem renaissance', 'jazz blues', 'traditional blues']",Bessie Smith,44
19eLuQmk9aCobbVDHc6eek,2256652.0,"['adult standards', 'dixieland', 'harlem renaissance', 'jazz trumpet', 'new orleans jazz', 'soul', 'swing', 'vocal jazz']",Louis Armstrong,74
5LiOoJbxVSAMkBS2fUm3X2,3528.0,"['tango', 'vintage tango']",Ignacio Corsini,23
3WZGDtvKSXrQs0oi8DBGLp,4.0,[],Stage and Theare Artists,4
3BiJGZsyX9sJchTqcSA7Su,11327.0,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing']",Dick Haymes,35
6PWJWwEm8BSBFAIAUWlwe4,36088.0,"['mandopop', 'singaporean mandopop', 'singaporean pop', 'singaporean singer-songwriter']",Boon Hui Lu,49
4kYSro6naA4h99UJvo89HB,15762250.0,"['pop', 'pop rap', 'post-teen pop', 'rap']",Cardi B,90
1dy5WNgIKQU6ezkpZs4y8z,245944.0,"['alt z', 'alternative r&b', 'bedroom pop', 'indie cafe pop', 'indie pop', 'pop']",ROLE MODEL,67
0NGAZxHanS9e0iNHpR8f2W,9863521.0,"['electro house', 'pop nacional', 'slap house']",Alok,84
14jtPCOoNZwquk5wd9DxrY,3.0,[],Fernando Pessoa,0
6M2wZ9GZgrQXHCFfjv46we,24123468.0,"['dance pop', 'pop', 'uk pop']",Dua Lipa,95
1McMsnEElThX1knmY4oliG,1444702.0,"['pop', 'post-teen pop']",Olivia Rodrigo,88
7aoSiqJj23B6at0hTVobbg,10608.0,"['mandopop', 'singaporean mandopop', 'singaporean singer-songwriter']",Joi Chua,41
3RwQ26hR2tJtA8F9p2n7jG,2019971.0,"['brill building pop', 'classic soul', 'funk', 'memphis soul', 'motown', 'soul']",The Temptations,72
0DYWCXTkNqGFZIf67SrWEa,95038.0,"['adult standards', 'dixieland', 'harlem renaissance', 'jazz', 'jazz piano', 'stride', 'swing', 'tin pan alley', 'vocal jazz']",Fats Waller,49
293zczrfYafIItmnmM3coR,1367891.0,"['adult standards', 'blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']",Chuck Berry,69
66CXWjxzNUsdJxJ2JdwvnR,61301006.0,"['pop', 'post-teen pop']",Ariana Grande,95
5vBSrE1xujD2FXYRarbAXc,1616179.0,"['dance pop', 'electropop', 'gauze pop', 'pop', 'post-teen pop', 'tropical house']",Years & Years,73
37M5pPGs6V1fchFJSgCguX,1168213.0,"['alt z', 'electropop', 'indie pop', 'la indie', 'pop', 'post-teen pop']",FINNEAS,77
4MxqhahGRT4BPz1PilXGeu,91.0,['instrumental lullaby'],Gregory Oberle,55
20JZFwl6HVl6yg8a4H3ZqK,10632209.0,"['baroque pop', 'emo', 'modern rock']",Panic! At The Disco,83
1uNFoZAHBGtllmzznpCI3s,44606973.0,"['canadian pop', 'pop', 'post-teen pop']",Justin Bieber,100
1pBuKaLHJlIlqYxQQaflve,287742.0,"['adult standards', 'big band', 'jazz', 'jazz clarinet', 'lounge', 'stride', 'swing', 'vintage jazz', 'vocal jazz']",Benny Goodman,56
1uU7g3DNSbsu0QjSEqZtEd,177401.0,['australian hip hop'],Masked Wolf,85
0i4Qda0k4nf7jnNHmSNpYv,19634.0,"['chicha', 'cumbia', 'nu-cumbia']",Afrosound,41
6s22t5Y3prQHyaHWUN1R1C,1751157.0,['modern rock'],AJR,82
45tIt06XoI0Iio4LBEVpls,91.0,[],Uli,4
3DtSOCXYU6o4EV0K1NgIKq,116936.0,"['bebop', 'big band', 'cool jazz', 'hard bop', 'jazz', 'jazz piano', 'stride', 'swing', 'vintage jazz', 'vocal jazz']",Art Tatum,50
3TVXtAsR1Inumwj472S9r4,54416812.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Drake,98
1AM52XHXnWAEqnQwpxTLWm,1045346.0,['turkish pop'],EDIS,67
